,white_username,black_username,white_result,black_result
155,-basu-,honooluluu,win,resigned
156,-basu-,MooslimY,win,resigned
157,-basu-,micWYLD,checkmated,win
158,-basu-,The_Jay-Z_Of_Chess,win,resigned
159,Ahmed_Assag,-basu-,win,resigned
160,gdekort,-basu-,resigned,win
161,-basu-,Sanza247,resigned,win
162,0bada,-basu-,win,resigned
163,assball,-basu-,resigned,win
164,hawkeyedb,-basu-,checkmated,win
165,-basu-,L20082,win,checkmated
166,-basu-,chemiker1234,timeout,win
167,-basu-,titos49,resigned,win
168,sabamado,-basu-,win,resigned
169,-basu-,dimojiZzz,checkmated,win
170,-basu-,Glidingeagle,resigned,win
171,Henrikhihaho,-basu-,checkmated,win
172,SforzaPlayer,-basu-,win,checkmated
173,-basu-,zontik91,win,resigned
174,towerlondon,-basu-,win,checkmated
175,alanromero28,-basu-,checkmated,win
176,aer0quil,-basu-,resigned,win
177,-basu-,queen_lover07,win,resigned
178,-basu-,Vukadinz93,win,resigned
179,KVS7,-basu-,win,resigned
180,-basu-,cobuckle,checkmated,win
181,-basu-,DandaMan186,win,resigned
182,Dankobozk,-basu-,resigned,win
183,zoran5144,-basu-,win,resigned
184,-basu-,zoran5144,win,resigned
185,-basu-,slickkillr,checkmated,win
186,SarathyK,-basu-,resigned,win
187,-basu-,fvp0830,resigned,win
188,Hassan1345,-basu-,timeout,win
189,aleks22116,-basu-,win,resigned
190,-basu-,Mahidip_Deb,win,resigned
191,-Jarod-,jrmtzm,resigned,win
192,sort76,-Jarod-,timeout,win
193,JARobbins,-Jarod-,win,resigned
194,hrpablo,-Jarod-,resigned,win
195,-Jarod-,ynta,win,resigned
196,Shogun6666,-Jarod-,resigned,win
197,artwinchess,-Jarod-,insufficient,insufficient
198,-Jarod-,sheamcpherson,win,timeout
199,WilliamRoman,-Jarod-,win,resigned
200,-Jarod-,qamera,win,checkmated
201,-Jarod-,safariale,win,checkmated
202,RANZ3,-Jarod-,win,resigned
203,-Jarod-,WGospodarczyk,resigned,win
204,dickybinns,-Jarod-,resigned,win
205,Cavallaro123,-Jarod-,win,checkmated
206,jetengi,-Jarod-,win,resigned
207,-Jarod-,Fliesonfire,win,timeout
208,-Jarod-,jjnz,win,resigned
209,-Jarod-,alponte,resigned,win
210,jhonny_jgomes,-Jarod-,resigned,win
211,-Jarod-,jamisonmelo,timeout,win
212,Roushan,-Jarod-,resigned,win
213,cholonto,-Jarod-,resigned,win
214,-Jarod-,Lalote12,win,timeout
215,-Jarod-,Bokschess,win,resigned
216,-Logician-,Buckshot62,checkmated,win
217,coachleier,-Logician-,win,resigned
218,-mjtara-,cocopopskin,resigned,win
219,-mjtara-,warrenalin,resigned,win
220,welverchops,-mjtara-,timeout,win
221,-mjtara-,welverchops,win,resigned
222,welverchops,-mjtara-,win,checkmated
223,learninggames,-TexasT-,win,timeout
224,-TexasT-,zardara,win,checkmated
225,zardara,-TexasT-,timeout,win
226,-TexasT-,Sachin_Sahu,timeout,win
227,-TexasT-,tuckerineas,resigned,win
228,rameezzia,-TexasT-,checkmated,win
229,jules71b,-TexasT-,win,resigned
230,ArronHardy,-TexasT-,resigned,win
231,-TexasT-,Shneor26,checkmated,win
232,-TexasT-,phantiq,win,checkmated
233,-TexasT-,divy1802,timeout,win
234,seraf20,-TexasT-,stalemate,stalemate
235,rickymoreno0921,-TexasT-,resigned,win
236,daddygrand13,-TexasT-,checkmated,win
237,-TexasT-,Goga_droga,win,resigned
238,-TexasT-,BOutlaw167,checkmated,win
239,-TexasT-,dhulhaaan_89,timeout,win
240,Sukumar14,-TexasT-,win,abandoned
241,-TexasT-,xproph3t,win,timeout
242,salaamaljawahiri,-Winner-,win,checkmated
243,-Winner-,khalifa4180,resigned,win
244,berkut63,-Winner-,resigned,win
245,-Winner-,Sdeeee5,resigned,win
246,CurieuxBegin,-Winner-,win,resigned
247,tinchol87,-Winner-,resigned,win
248,-Winner-,kleber2002,timeout,win
249,gchessninja5,-Winner-,win,resigned
250,-Winner-,RDESCarlsen,abandoned,win
251,-Winner-,majidazimzadeh,win,resigned
252,-_KNiGHt_-,mikeplaysguitar,win,resigned
253,0-Rizzler-0,palpandi08,checkmated,win
254,BigDummie5,0000440000,checkmated,win
255,0000440000,BigDummie5,win,checkmated
256,0000440000,BigDummie5,win,checkmated
257,BigDummie5,0000440000,checkmated,win
258,BigDummie5,0000440000,checkmated,win
259,000sergei2,Mohsen1356,timeout,win
260,000sergei2,TrickyPizza,win,resigned
261,000sergei2,guidoquin,win,resigned
262,Boobski,000sergei2,win,resigned
263,BlaacBoyT,000sergei2,win,resigned
264,DelRosarioJoseV,000sergei2,win,resigned
265,000sergei2,Viacheslav135,checkmated,win
266,WesleySoPHL,000sergei2,win,checkmated
267,000sergei2,WesleySoPHL,win,timeout
268,ababio,000sergei2,win,timeout
269,kofolkp,000sergei2,agreed,agreed
270,000sergei2,jeannotvandiem,timeout,win
271,000sergei2,WorkingPinkie,resigned,win
272,000sergei2,paulmaurice31,timeout,win
273,000sergei2,aiocarago,win,timeout
274,radwansoubani1944,000sergei2,win,abandoned
275,theacher-azra,000sergei2,resigned,win
276,000sergei2,kubus20052005,win,resigned
277,artcm,000sergei2,win,checkmated
278,Koch-10,000sergei2,win,resigned
279,alexmunene,000sergei2,resigned,win
280,000sergei2,LateEntry,win,timeout
281,fey65,000sergei2,win,timeout
282,000sergei2,velvenugopal,win,resigned
283,000sergei2,TER-AZARYAN,win,resigned
284,000sergei2,cajarlin,resigned,win
285,alexzsasz,000sergei2,win,abandoned
286,vv7en2020,000sergei2,win,timeout
287,000sergei2,DovganAleksandr1975,checkmated,win
288,000sergei2,Victor280861,win,timeout
289,Serg772,000sergei2,win,resigned
290,Horgasz123,000sergei2,resigned,win
291,iamatoz,000sergei2,resigned,win
292,000sergei2,Kutais,win,resigned
293,ThirstyKing02,000sergei2,win,resigned
294,000sergei2,ThirstyKing02,win,resigned
295,ThirstyKing02,000sergei2,win,timeout
296,000sergei2,Pedi84,abandoned,win
297,000sergei2,Words21,insufficient,insufficient
298,000sergei2,kidwaishafey,win,checkmated
299,000sergei2,bobgaley,win,checkmated
300,Ariocs,000sergei2,win,abandoned
301,acsteinle,000sergei2,win,timeout
302,Vladimir892020,000sergei2,checkmated,win
303,000sergei2,2934uhr927,win,resigned
304,Ribeiro77,000sergei2,agreed,agreed
305,januz79,000sergei2,abandoned,win
306,000sergei2,chizzyizzy050,timeout,win
307,chizzyizzy050,000sergei2,timevsinsufficient,timevsinsufficient
308,000sergei2,barhanskov,win,resigned
309,TOSIY,000sergei2,win,timeout
310,000sergei2,TOSIY,win,resigned
311,000sergei2,Viktor140955,abandoned,win
312,Alfred2wp,000sergei2,win,timeout
313,hvp1996,000sergei2,insufficient,insufficient
314,000sergei2,andreasjoannisson,timeout,win
315,Ranbow2,000sergei2,timeout,win
316,tofan56,000sergei2,win,timeout
317,000sergei2,butkievv,win,resigned
318,butkievv,000sergei2,win,checkmated
319,000sergei2,fi5ty5ive,win,checkmated
320,000sergei2,sbambuleila,win,resigned
321,000sergei2,jj47980,win,timeout
322,000sergei2,Costel70,resigned,win
323,PatrickEichgraben,000sergei2,resigned,win
324,florelor,000sergei2,win,timeout
325,000sergei2,loupau,win,resigned
326,kartsa,000sergei2,timeout,win
327,000sergei2,GAZIHANOV05,win,timeout
328,Emiliooooooooo,000sergei2,resigned,win
329,don-s-pap,000sergei2,resigned,win
330,000sergei2,AlonsoG97,win,resigned
331,oldfella67,000sergei2,resigned,win
332,fawad36402,000sergei2,checkmated,win
333,000sergei2,fawad36402,win,abandoned
334,000sergei2,Durgalal_yadav,timeout,win
335,000sergei2,Ieon31,win,timeout
336,000sergei2,AVDHUT1990,resigned,win
337,kis10306,000sergei2,timeout,win
338,000sergei2,sem1212,win,resigned
339,Izomska,000sergei2,win,timeout
340,chirag_k1,000sergei2,resigned,win
341,000sergei2,chirag_k1,win,resigned
342,dominator_7477015,000sergei2,win,timeout
343,000sergei2,dominator_7477015,checkmated,win
344,R12M,000sergei2,resigned,win
345,000sergei2,ryanchess,timeout,win
346,klokan256,000sergei2,win,checkmated
347,hilmiismail,000sergei2,resigned,win
348,000sergei2,hilmiismail,checkmated,win
349,000sergei2,tta192,win,checkmated
350,omarovanar,000sergei2,win,checkmated
351,mboehwes,000sergei2,win,checkmated
352,000sergei2,Dhirajtalukdar,abandoned,win
353,000sergei2,Yerik81,resigned,win
354,lucasalmeidagv,000sergei2,resigned,win
355,choruumy,000sergei2,win,timeout
356,000sergei2,davidh100,timeout,win
