,white_username,black_username,white_result,black_result
3087,641huha,09Gladiator09,win,timeout
3088,CERjr,09Gladiator09,win,timeout
3089,09Gladiator09,A_aaa_O,win,timeout
3090,09Gladiator09,whitetiger2010,timeout,win
3091,whitetiger2010,09Gladiator09,insufficient,insufficient
3092,09Gladiator09,whitetiger2010,win,timeout
3093,whitetiger2010,09Gladiator09,win,checkmated
3094,09Gladiator09,whitetiger2010,win,timeout
3095,schackmatte,09Gladiator09,win,timeout
3096,09Gladiator09,OlgaChessa21,win,timeout
3097,aeronmjones,09Gladiator09,timeout,win
3098,aryyya,09Gladiator09,checkmated,win
3099,09Gladiator09,charisisrael,checkmated,win
3100,charisisrael,09Gladiator09,timeout,win
3101,09Gladiator09,charisisrael,win,timeout
3102,charisisrael,09Gladiator09,timeout,win
3103,09Gladiator09,charisisrael,win,abandoned
3104,pugfan,09Gladiator09,win,checkmated
3105,09Gladiator09,Charliedontsurf88,checkmated,win
3106,09Gladiator09,Riccoh,win,timeout
3107,Riccoh,09Gladiator09,timeout,win
3108,09Gladiator09,Riccoh,win,resigned
3109,r_e_c_e_b,09Gladiator09,timeout,win
3110,09Gladiator09,r_e_c_e_b,checkmated,win
3111,r_e_c_e_b,09Gladiator09,timeout,win
3112,09Gladiator09,r_e_c_e_b,win,timeout
3113,Srilan777,09Gladiator09,timeout,win
3114,09Gladiator09,Srilan777,checkmated,win
3115,Srilan777,09Gladiator09,win,checkmated
3116,09Gladiator09,Srilan777,checkmated,win
3117,09Gladiator09,Pasha53,win,timeout
3118,Saucy_Spoon,09Gladiator09,timeout,win
3119,Eschou,09Gladiator09,timeout,win
3120,Tabarnia,09Gladiator09,win,checkmated
3121,09Gladiator09,Tabarnia,checkmated,win
3122,somasundaramtri,09Gladiator09,timevsinsufficient,timevsinsufficient
3123,09Gladiator09,Karma130797,checkmated,win
3124,Karma130797,09Gladiator09,win,timeout
3125,sohamdas,09Gladiator09,timeout,win
3126,FrznFrg,09Gladiator09,timeout,win
3127,09Gladiator09,FightFruit,win,timeout
3128,FightFruit,09Gladiator09,timeout,win
3129,09Gladiator09,bojanachess,timeout,win
3130,09Gladiator09,bfc2000,win,timeout
3131,bfc2000,09Gladiator09,win,checkmated
3132,09Gladiator09,maxathlon,timeout,win
3133,Sid1138,09Gladiator09,win,resigned
3134,09Gladiator09,chetanjain3d,win,timeout
3135,chetanjain3d,09Gladiator09,win,timeout
3136,09Gladiator09,chetanjain3d,checkmated,win
3137,chetanjain3d,09Gladiator09,win,checkmated
3138,09Gladiator09,chetanjain3d,checkmated,win
3139,chetanjain3d,09Gladiator09,win,checkmated
3140,09Gladiator09,chetanjain3d,timeout,win
3141,chetanjain3d,09Gladiator09,timeout,win
3142,09Gladiator09,chetanjain3d,checkmated,win
3143,chetanjain3d,09Gladiator09,win,checkmated
3144,09Gladiator09,chetanjain3d,checkmated,win
3145,chetanjain3d,09Gladiator09,win,resigned
3146,09Gladiator09,chetanjain3d,checkmated,win
3147,09Gladiator09,giliatopo,win,timeout
3148,giliatopo,09Gladiator09,win,checkmated
3149,johnpathe,09Gladiator09,win,checkmated
3150,dimsdim,09Gladiator09,win,checkmated
3151,09Gladiator09,Dhayalan19,checkmated,win
3152,deny888,09Gladiator09,timeout,win
3153,lami88,09Gladiator09,win,checkmated
3154,09Gladiator09,ninobaltero,win,timeout
3155,ninobaltero,09Gladiator09,win,checkmated
3156,09Gladiator09,giliatopo,checkmated,win
3157,09Gladiator09,VagTses,timevsinsufficient,timevsinsufficient
3158,VagTses,09Gladiator09,checkmated,win
3159,09Gladiator09,VagTses,win,timeout
3160,VagTses,09Gladiator09,win,checkmated
3161,MerlynBauri,09Gladiator09,win,checkmated
3162,Oli354,09Gladiator09,timeout,win
3163,09Gladiator09,charlienoah,win,timeout
3164,charlienoah,09Gladiator09,timeout,win
3165,09Gladiator09,charlienoah,checkmated,win
3166,charlienoah,09Gladiator09,win,timeout
3167,09Gladiator09,charlienoah,checkmated,win
3168,Nandy_01,09Gladiator09,timeout,win
3169,09Gladiator09,Nandy_01,checkmated,win
3170,non018915,09Gladiator09,win,checkmated
3171,09Gladiator09,bladox,win,timeout
3172,bladox,09Gladiator09,win,timeout
3173,FOI68,09Gladiator09,timeout,win
3174,09Gladiator09,ayhankasim,win,timeout
3175,09Gladiator09,sudeb2003,win,timeout
3176,sudeb2003,09Gladiator09,win,checkmated
3177,09Gladiator09,sudeb2003,win,timeout
3178,sudeb2003,09Gladiator09,win,timeout
3179,09Gladiator09,sudeb2003,win,timeout
3180,sudeb2003,09Gladiator09,win,timeout
3181,09Gladiator09,sudeb2003,win,timeout
3182,sudeb2003,09Gladiator09,win,timeout
3183,09Gladiator09,sudeb2003,checkmated,win
3184,imrelina,09Gladiator09,win,checkmated
3185,rateesh,09Gladiator09,win,timeout
3186,09Gladiator09,SergioHP23,timevsinsufficient,timevsinsufficient
3187,09Gladiator09,JBL678,win,timeout
3188,Sinan1000,09Gladiator09,win,checkmated
3189,09Gladiator09,Man-Erg,checkmated,win
3190,surya_ramki,09Gladiator09,timeout,win
3191,serpar1375,09Gladiator09,win,timeout
3192,09Gladiator09,royargue,checkmated,win
3193,royargue,09Gladiator09,timeout,win
3194,09Gladiator09,NguyenVuThienAn,win,timeout
3195,09Gladiator09,vvid643,checkmated,win
3196,Sabrena_zuki,09Gladiator09,win,resigned
3197,09Gladiator09,Sabrena_zuki,win,timeout
3198,09Gladiator09,crash_cool,win,timeout
3199,Viciopoli,09Gladiator09,timeout,win
3200,09Gladiator09,Viciopoli,checkmated,win
3201,Viciopoli,09Gladiator09,timeout,win
3202,willynuhe,09Gladiator09,timeout,win
3203,vvid643,09Gladiator09,win,checkmated
3204,09Gladiator09,vvid643,checkmated,win
3205,pupukea,09Gladiator09,timeout,win
3206,09Gladiator09,andresC9,win,timeout
3207,Yavuz3434,09Gladiator09,timeout,win
3208,09Gladiator09,Yavuz3434,win,timeout
3209,Yavuz3434,09Gladiator09,timeout,win
3210,09Gladiator09,Yavuz3434,checkmated,win
3211,Yavuz3434,09Gladiator09,win,checkmated
3212,09Gladiator09,Yavuz3434,win,timeout
3213,Yavuz3434,09Gladiator09,timeout,win
3214,09Gladiator09,Yavuz3434,win,timeout
3215,Yavuz3434,09Gladiator09,win,resigned
3216,gutoroque,09Gladiator09,win,resigned
3217,09Gladiator09,The_One2017,win,checkmated
3218,The_One2017,09Gladiator09,win,checkmated
3219,09Gladiator09,The_One2017,win,timeout
3220,The_One2017,09Gladiator09,win,checkmated
3221,09Gladiator09,The_One2017,win,timeout
3222,The_One2017,09Gladiator09,timeout,win
3223,09Gladiator09,The_One2017,win,abandoned
3224,BuckyBlanco,09Gladiator09,win,checkmated
3225,09Gladiator09,mate_niller,win,timeout
3226,mate_niller,09Gladiator09,win,checkmated
3227,09Gladiator09,mate_niller,timeout,win
3228,Chess_Rookie_Noob,09Gladiator09,resigned,win
3229,09Gladiator09,pbernalis,win,timeout
3230,pbernalis,09Gladiator09,timevsinsufficient,timevsinsufficient
3231,09Gladiator09,pbernalis,win,timeout
3232,pbernalis,09Gladiator09,win,timeout
3233,09Gladiator09,pbernalis,stalemate,stalemate
3234,pbernalis,09Gladiator09,win,checkmated
3235,09Gladiator09,pbernalis,timeout,win
3236,09Gladiator09,KishanSalay,win,resigned
3237,CarlPicconatto,09Gladiator09,timeout,win
3238,DavidSmith24026,09Gladiator09,timeout,win
3239,shatranj2019,09Gladiator09,timeout,win
3240,09Gladiator09,sigurbj,checkmated,win
3241,rhari19,09Gladiator09,timeout,win
3242,09Gladiator09,rhari19,win,timeout
3243,rhari19,09Gladiator09,win,checkmated
3244,09Gladiator09,rhari19,win,timeout
3245,rhari19,09Gladiator09,win,checkmated
3246,09Gladiator09,rhari19,win,timeout
3247,rhari19,09Gladiator09,win,checkmated
3248,09Gladiator09,rhari19,checkmated,win
3249,Pawnfischer101,09Gladiator09,timeout,win
3250,09Gladiator09,tomprincipi,checkmated,win
3251,PattyCakes1337,09Gladiator09,timeout,win
3252,09Gladiator09,fdabl,win,timeout
3253,09Gladiator09,Maxim_Nasurdinov,win,timeout
3254,09Gladiator09,PeterMoeNorway20,win,resigned
3255,PeterMoeNorway20,09Gladiator09,win,checkmated
3256,09Gladiator09,michael2045,checkmated,win
3257,Vercing,09Gladiator09,win,checkmated
3258,AdonaiDianta,09Gladiator09,win,checkmated
3259,616eric,09Gladiator09,win,checkmated
3260,09Gladiator09,Jason6242010,timeout,win
3261,BlueOceans1st,09Gladiator09,win,checkmated
3262,thomasharry,09Gladiator09,win,timeout
3263,09Gladiator09,talat0909,win,timeout
3264,sudeb2003,09Gladiator09,win,checkmated
3265,09Gladiator09,sudeb2003,timeout,win
3266,09Gladiator09,WilsonStori,checkmated,win
3267,09Gladiator09,sizyfos,win,timeout
3268,ChessRogerPT,09Gladiator09,checkmated,win
3269,09Gladiator09,ChessRogerPT,win,timeout
3270,ChessRogerPT,09Gladiator09,win,checkmated
3271,towfik1,09Gladiator09,win,checkmated
3272,khai5647,09Gladiator09,win,checkmated
3273,09Gladiator09,Barba_rossa,win,timeout
3274,Barba_rossa,09Gladiator09,timeout,win
3275,09Gladiator09,Barba_rossa,win,timeout
3276,09Gladiator09,wpsmug,win,timeout
3277,09Gladiator09,Lyagushka-kvakushka,win,timeout
3278,09Gladiator09,KapilDilshan,checkmated,win
3279,marcosNowInBali,09Gladiator09,timeout,win
3280,calvinclaudio,09Gladiator09,win,checkmated
3281,Ron-Slon,09Gladiator09,win,timeout
3282,09Gladiator09,Ron-Slon,win,timeout
3283,mhjjhjhm,09Gladiator09,win,checkmated
3284,09Gladiator09,mhjjhjhm,checkmated,win
3285,mhjjhjhm,09Gladiator09,timeout,win
3286,09Gladiator09,mhjjhjhm,win,timeout
3287,09Gladiator09,pkc789,abandoned,win
3288,Hari_Seldon333,09Gladiator09,win,resigned
3289,cmaster217,09Gladiator09,timeout,win
3290,09Gladiator09,MaSterlef,checkmated,win
3291,MaSterlef,09Gladiator09,timeout,win
3292,09Gladiator09,Korinthian,win,timeout
3293,Korinthian,09Gladiator09,win,timeout
3294,09Gladiator09,Korinthian,win,timeout
3295,09Gladiator09,larsooo,win,timeout
3296,09Gladiator09,prettymeetsworld,checkmated,win
3297,prettymeetsworld,09Gladiator09,win,checkmated
3298,kevinandystamps,09Gladiator09,timeout,win
3299,09Gladiator09,jaimejr1975,win,timeout
3300,09Gladiator09,Jagriya,checkmated,win
3301,09Gladiator09,ArbabKhanWarsi,timeout,win
3302,ArbabKhanWarsi,09Gladiator09,timeout,win
3303,umardani,09Gladiator09,win,checkmated
3304,09Gladiator09,umardani,checkmated,win
3305,umardani,09Gladiator09,win,checkmated
3306,09Gladiator09,alnazrip,win,timeout
3307,stefan_lapadat,09Gladiator09,win,checkmated
3308,09Gladiator09,stefan_lapadat,win,timeout
3309,stefan_lapadat,09Gladiator09,win,checkmated
3310,09Gladiator09,stefan_lapadat,win,timeout
3311,stefan_lapadat,09Gladiator09,timeout,win
3312,09Gladiator09,stefan_lapadat,win,timeout
3313,stefan_lapadat,09Gladiator09,win,resigned
3314,09Gladiator09,stefan_lapadat,timevsinsufficient,timevsinsufficient
3315,Surabiii,09Gladiator09,win,timeout
3316,09Gladiator09,616eric,timeout,win
3317,djapeto,09Gladiator09,timeout,win
3318,09Gladiator09,djapeto,win,timeout
3319,vmoghe1,09Gladiator09,timeout,win
3320,09Gladiator09,ngoran5,win,timeout
3321,Xe007,09Gladiator09,win,checkmated
3322,09Gladiator09,Joy_0555,win,timeout
3323,JimboBeans,09Gladiator09,insufficient,insufficient
3324,Oddjob,09Gladiator09,win,timeout
3325,09Gladiator09,Oddjob,win,timeout
3326,Oddjob,09Gladiator09,timeout,win
3327,09Gladiator09,Brainlessunless,checkmated,win
3328,Brainlessunless,09Gladiator09,win,timeout
3329,SchkVeld,09Gladiator09,timeout,win
3330,09Gladiator09,DamirTukayev,win,checkmated
3331,DamirTukayev,09Gladiator09,win,timeout
3332,09Gladiator09,DamirTukayev,win,checkmated
3333,09Gladiator09,cquattro,checkmated,win
3334,Mrhuse,09Gladiator09,win,timeout
3335,09Gladiator09,ZarniwoopUK,win,timeout
3336,ZarniwoopUK,09Gladiator09,timevsinsufficient,timevsinsufficient
3337,nuwaramachan,09Gladiator09,timeout,win
3338,09Gladiator09,chinagod,win,timeout
3339,09Gladiator09,indexboy,win,timeout
3340,eduardofrutos,09Gladiator09,timeout,win
3341,09Gladiator09,Robmil55,win,timeout
3342,benjaperezdlf,09Gladiator09,win,checkmated
3343,migwerzo,09Gladiator09,win,checkmated
3344,UbicaBGD,09Gladiator09,timevsinsufficient,timevsinsufficient
3345,09Gladiator09,subnus,abandoned,win
3346,graphgeek,09Gladiator09,timevsinsufficient,timevsinsufficient
3347,09Gladiator09,yoav55,checkmated,win
3348,09Gladiator09,josemaran,win,timeout
3349,britznick,09Gladiator09,win,checkmated
3350,09Gladiator09,PJ1000,checkmated,win
3351,PJ1000,09Gladiator09,timeout,win
3352,jqerbash,09Gladiator09,stalemate,stalemate
3353,09Gladiator09,lluallin,win,timeout
3354,lluallin,09Gladiator09,timeout,win
3355,bayernmynchen,09Gladiator09,timeout,win
3356,09Gladiator09,bayernmynchen,checkmated,win
3357,09Gladiator09,wontsleep,win,timeout
3358,wontsleep,09Gladiator09,win,checkmated
3359,09Gladiator09,NiklasHautekiet,checkmated,win
3360,09Gladiator09,kangikhwan,checkmated,win
3361,09Gladiator09,checqm8,win,timeout
3362,WARCR1M1NAL,09Gladiator09,timeout,win
3363,09Gladiator09,malmborggg,timeout,win
3364,hilariousblunder,09Gladiator09,timeout,win
3365,parzei,09Gladiator09,resigned,win
3366,dertliORG,09Gladiator09,checkmated,win
3367,09Gladiator09,lami88,checkmated,win
3368,09Gladiator09,hilariousblunder,checkmated,win
3369,mazykuis,09Gladiator09,win,timeout
3370,pkc789,09Gladiator09,timeout,win
3371,09Gladiator09,pkc789,checkmated,win
3372,pkc789,09Gladiator09,win,checkmated
3373,09Gladiator09,pkc789,win,timeout
3374,09Gladiator09,Cess2,checkmated,win
3375,Cess2,09Gladiator09,timeout,win
3376,09Gladiator09,Cess2,win,timeout
3377,Cess2,09Gladiator09,timeout,win
3378,09Gladiator09,Cess2,checkmated,win
3379,Cess2,09Gladiator09,timeout,win
3380,09Gladiator09,Cess2,win,timeout
3381,Cess2,09Gladiator09,timeout,win
3382,09Gladiator09,Cess2,win,timeout
3383,Cess2,09Gladiator09,timeout,win
3384,09Gladiator09,Cess2,win,timeout
3385,Cess2,09Gladiator09,timeout,win
3386,09Gladiator09,Cess2,win,timeout
3387,Cess2,09Gladiator09,stalemate,stalemate
3388,HughPhartud,09Gladiator09,win,checkmated
3389,09Gladiator09,Amran-Haji,checkmated,win
3390,09Gladiator09,ezlyfe,checkmated,win
3391,Checkidemiologist,09Gladiator09,timeout,win
3392,09Gladiator09,Checkidemiologist,checkmated,win
3393,Checkidemiologist,09Gladiator09,stalemate,stalemate
3394,09Gladiator09,Analyn90,win,timeout
3395,09Gladiator09,nik1765,checkmated,win
3396,09Gladiator09,pat_tlr13,win,timeout
3397,Dionx8,09Gladiator09,timevsinsufficient,timevsinsufficient
3398,Oussama007El,09Gladiator09,timeout,win
3399,brauort,09Gladiator09,timeout,win
3400,09Gladiator09,Mychaylo,checkmated,win
3401,09Gladiator09,roth68,win,timeout
3402,kapablanka92,09Gladiator09,timeout,win
3403,09Gladiator09,Dionx8,checkmated,win
3404,Dionx8,09Gladiator09,win,timeout
3405,09Gladiator09,Dionx8,timeout,win
3406,Dionx8,09Gladiator09,win,checkmated
3407,09Gladiator09,Dionx8,checkmated,win
3408,Dionx8,09Gladiator09,win,timeout
3409,09Gladiator09,Dionx8,timeout,win
3410,karakolnik,09Gladiator09,timeout,win
3411,mikey32,09Gladiator09,win,timeout
3412,09Gladiator09,mikey32,win,timeout
3413,at_VADIM_forsenKek,09Gladiator09,timeout,win
3414,henry14589,09Gladiator09,timeout,win
3415,dukkaq,09Gladiator09,win,checkmated
3416,09Gladiator09,MarvinBarrera,checkmated,win
3417,09Gladiator09,FearlessSlayer,win,timeout
3418,09Gladiator09,LeviBooking,timeout,win
3419,LeviBooking,09Gladiator09,win,checkmated
3420,09Gladiator09,LeviBooking,win,timeout
3421,LeviBooking,09Gladiator09,win,checkmated
3422,09Gladiator09,LeviBooking,win,timeout
3423,LeviBooking,09Gladiator09,win,checkmated
3424,09Gladiator09,LeviBooking,checkmated,win
3425,Ottomansson,09Gladiator09,timeout,win
3426,09Gladiator09,Ottomansson,win,timeout
3427,NorthenerBMe,09Gladiator09,timeout,win
3428,09Gladiator09,NorthenerBMe,checkmated,win
3429,NorthenerBMe,09Gladiator09,win,checkmated
3430,AngsShu,09Gladiator09,win,checkmated
3431,09Gladiator09,AngsShu,win,timeout
3432,AngsShu,09Gladiator09,timeout,win
3433,09Gladiator09,AngsShu,timevsinsufficient,timevsinsufficient
3434,DavidVasquezM,09Gladiator09,win,checkmated
3435,09Gladiator09,DavidVasquezM,win,timeout
3436,DavidVasquezM,09Gladiator09,win,checkmated
3437,09Gladiator09,DavidVasquezM,win,timeout
3438,09Gladiator09,kadz66,timeout,win
3439,German_Ghostkiller,09Gladiator09,win,timeout
3440,09Gladiator09,SommerYHVH,win,timeout
3441,09Gladiator09,Ez_mid07,checkmated,win
3442,KieranDunn,09Gladiator09,timeout,win
3443,gouldvariation,09Gladiator09,win,checkmated
3444,GonzalezLucasG,09Gladiator09,timeout,win
3445,09Gladiator09,GonzalezLucasG,abandoned,win
3446,34gbt,09Gladiator09,timeout,win
3447,Poexali,09Gladiator09,stalemate,stalemate
3448,09Gladiator09,dalilel,checkmated,win
3449,09Gladiator09,sm00ky,checkmated,win
3450,synyster3,09Gladiator09,timeout,win
3451,stavrosthassos,09Gladiator09,win,checkmated
3452,09Gladiator09,LeBatman,timevsinsufficient,timevsinsufficient
3453,09Gladiator09,PiccadillyJim,checkmated,win
3454,09Gladiator09,allandd,checkmated,win
3455,09Gladiator09,FightFruit,win,timeout
3456,josemaran,09Gladiator09,win,checkmated
3457,Shridhar_SU,09Gladiator09,win,checkmated
3458,09Gladiator09,Caspar135,timeout,win
3459,Mezaton,09Gladiator09,win,checkmated
3460,priyakp67004,09Gladiator09,timeout,win
3461,casperwu,09Gladiator09,timeout,win
3462,09Gladiator09,samuelrobert,win,timeout
3463,09Gladiator09,nddminh,win,timeout
3464,wpsmug,09Gladiator09,timeout,win
3465,09Gladiator09,wpsmug,timeout,win
3466,wpsmug,09Gladiator09,win,checkmated
3467,09Gladiator09,gandalf_reldnik,win,timeout
3468,09Gladiator09,eduardofrutos,checkmated,win
3469,09Gladiator09,Kumar1819,checkmated,win
3470,hezzbollah,09Gladiator09,timeout,win
3471,Jarekfrajer,09Gladiator09,timeout,win
3472,ayush-agrawal,09Gladiator09,timeout,win
3473,09Gladiator09,cmd11553,win,timeout
3474,09Gladiator09,wowa_wowa,checkmated,win
3475,rottingtodeath,09Gladiator09,win,checkmated
3476,09Gladiator09,Aspirant2017,checkmated,win
3477,johnhodgmansucks,09Gladiator09,win,checkmated
3478,09Gladiator09,johnhodgmansucks,win,timeout
3479,johnhodgmansucks,09Gladiator09,timeout,win
3480,09Gladiator09,johnhodgmansucks,checkmated,win
3481,johnhodgmansucks,09Gladiator09,timeout,win
3482,09Gladiator09,johnhodgmansucks,checkmated,win
3483,johnhodgmansucks,09Gladiator09,win,checkmated
3484,09Gladiator09,johnhodgmansucks,win,timeout
3485,johnhodgmansucks,09Gladiator09,win,checkmated
3486,09Gladiator09,johnhodgmansucks,checkmated,win
3487,telmosilv,09Gladiator09,timeout,win
3488,09Gladiator09,winterthur1,win,timeout
3489,winterthur1,09Gladiator09,win,checkmated
3490,09Gladiator09,winterthur1,win,resigned
3491,winterthur1,09Gladiator09,win,checkmated
3492,09Gladiator09,Lohithya,win,timeout
3493,09Gladiator09,ferasdarua,checkmated,win
3494,qnk,09Gladiator09,win,checkmated
3495,09Gladiator09,qnk,win,timeout
3496,kevlarking,09Gladiator09,timeout,win
3497,nboothandford,09Gladiator09,timeout,win
3498,09Gladiator09,nboothandford,win,timeout
3499,09Gladiator09,Tholossius,win,timeout
3500,onenut,09Gladiator09,timevsinsufficient,timevsinsufficient
3501,09Gladiator09,onenut,timeout,win
3502,Julost,09Gladiator09,timeout,win
3503,09Gladiator09,Julost,timeout,win
3504,09Gladiator09,constantincurecheriu,win,resigned
3505,priestholmes,09Gladiator09,win,checkmated
3506,09Gladiator09,umardani,checkmated,win
3507,cheesecakeadam,09Gladiator09,timeout,win
3508,rmkrbtt,09Gladiator09,timeout,win
3509,09Gladiator09,Welbasawsage,win,timeout
3510,drahram,09Gladiator09,win,timeout
3511,evansrobbie,09Gladiator09,timeout,win
3512,osama012012,09Gladiator09,timeout,win
3513,09Gladiator09,osama012012,checkmated,win
3514,09Gladiator09,RCO75,checkmated,win
3515,09Gladiator09,Asil_azm,win,timeout
3516,09Gladiator09,SponsedByNike,checkmated,win
3517,09Gladiator09,Joshwa34,win,timeout
3518,DarkRavenGamer,09Gladiator09,timeout,win
3519,09Gladiator09,DarkRavenGamer,win,timeout
3520,BMW-X5,09Gladiator09,timeout,win
3521,09Gladiator09,BMW-X5,timeout,win
3522,09Gladiator09,do1ch,win,timeout
3523,aritra70,09Gladiator09,win,checkmated
3524,Razoroliveira,09Gladiator09,stalemate,stalemate
3525,09Gladiator09,Razoroliveira,checkmated,win
3526,Razoroliveira,09Gladiator09,win,checkmated
3527,09Gladiator09,Razoroliveira,win,timeout
3528,Andario19,09Gladiator09,win,checkmated
3529,kh4xi,09Gladiator09,win,checkmated
3530,09Gladiator09,thinkphp,checkmated,win
3531,09Gladiator09,Lenyjavi,win,timeout
3532,09Gladiator09,Asevum,win,timeout
3533,Asevum,09Gladiator09,win,timeout
3534,GSlet,09Gladiator09,win,checkmated
3535,09Gladiator09,bob4g,checkmated,win
3536,voknil,09Gladiator09,win,timeout
3537,09Gladiator09,voknil,checkmated,win
3538,voknil,09Gladiator09,timeout,win
3539,09Gladiator09,RunawaySl,checkmated,win
3540,taraskorprach,09Gladiator09,timeout,win
3541,09Gladiator09,taraskorprach,win,timeout
3542,ABOFAREST2,09Gladiator09,timeout,win
3543,09Gladiator09,lwuf22,win,timeout
3544,Pozsi9,09Gladiator09,checkmated,win
3545,09Gladiator09,Pozsi9,win,timeout
3546,alcidezanetti,09Gladiator09,win,timeout
3547,09Gladiator09,John1228,checkmated,win
3548,Demnosxx,09Gladiator09,timeout,win
3549,09Gladiator09,chawberri,timeout,win
3550,CorbinStark,09Gladiator09,timeout,win
3551,RooKmediK,09Gladiator09,timeout,win
3552,Gigaset203,09Gladiator09,win,checkmated
3553,chargerrich,09Gladiator09,win,checkmated
3554,09Gladiator09,ffpepe,checkmated,win
3555,09Gladiator09,Alfredo5050,win,timeout
3556,greffern,09Gladiator09,win,checkmated
3557,09Gladiator09,saurabhpandey15,win,timeout
3558,09Gladiator09,Super_Cookie,win,timeout
3559,09Gladiator09,whiteslayers,stalemate,stalemate
3560,ddanilov,09Gladiator09,timeout,win
3561,09Gladiator09,interarch10,timeout,win
3562,HalfwayPriest,09Gladiator09,timeout,win
3563,JonnoFischer,09Gladiator09,timeout,win
3564,lami88,09Gladiator09,timevsinsufficient,timevsinsufficient
3565,09Gladiator09,GM_Ethical,win,timeout
3566,09Gladiator09,gilbertoney,win,timeout
3567,valterfagundes,09Gladiator09,timeout,win
3568,09Gladiator09,IncorrectPlayerName,win,timeout
3569,boekelberg,09Gladiator09,timeout,win
3570,09Gladiator09,Citadel_07,win,timeout
3571,09Gladiator09,marcus5555,checkmated,win
3572,GM_Ethical,09Gladiator09,win,checkmated
3573,09Gladiator09,DaPJkeeh,checkmated,win
3574,yhimi,09Gladiator09,timeout,win
3575,Scottyy_1,09Gladiator09,win,checkmated
3576,Rhino8_v2,09Gladiator09,resigned,win
3577,09Gladiator09,Arik-ha-madlic,checkmated,win
3578,09Gladiator09,kmj8510,win,timeout
3579,naifey,09Gladiator09,win,checkmated
3580,09Gladiator09,daowei,win,timeout
3581,09Gladiator09,naifey,win,timeout
3582,09Gladiator09,kel-a,win,timeout
3583,Sarengan,09Gladiator09,win,checkmated
3584,sneakpreviw,09Gladiator09,win,checkmated
3585,09Gladiator09,Papillon2018,checkmated,win
3586,mvrg2591,09Gladiator09,timeout,win
3587,09Gladiator09,Kiranas007,win,timeout
3588,09Gladiator09,HughPhartud,win,timeout
3589,Beta_mode,09Gladiator09,win,checkmated
3590,Arik-ha-madlic,09Gladiator09,timevsinsufficient,timevsinsufficient
3591,09Gladiator09,Dr_Moh,checkmated,win
3592,siriusmorel,09Gladiator09,win,checkmated
3593,Caribstv,09Gladiator09,timeout,win
3594,09Gladiator09,JHQ18,win,timeout
3595,09Gladiator09,prinsgup,checkmated,win
3596,emilianodelcampo,09Gladiator09,win,checkmated
3597,libardito10,09Gladiator09,win,timeout
3598,09Gladiator09,uripov,win,timeout
3599,AmericanInThailand,09Gladiator09,timeout,win
3600,Jtavares2016,09Gladiator09,win,checkmated
3601,09Gladiator09,RooKmediK,win,timeout
3602,09Gladiator09,WanderJ,win,timeout
3603,RooKmediK,09Gladiator09,win,timeout
3604,kaperon,09Gladiator09,win,timeout
3605,rontimex,09Gladiator09,resigned,win
3606,09Gladiator09,Aman_D_Sharma,timevsinsufficient,timevsinsufficient
3607,09Gladiator09,StianRype,win,timeout
3608,09Gladiator09,Romio123,checkmated,win
3609,09Gladiator09,OfCourseImNotMagnus,win,resigned
3610,OfCourseImNotMagnus,09Gladiator09,abandoned,win
3611,09Gladiator09,rontimex,checkmated,win
3612,yesyesyes88,09Gladiator09,checkmated,win
3613,09Gladiator09,PanttyBanditt,timevsinsufficient,timevsinsufficient
3614,ISacMyQueen,09Gladiator09,win,checkmated
3615,newbie83720,09Gladiator09,resigned,win
3616,avi118,09Gladiator09,timeout,win
3617,09Gladiator09,deepklue,checkmated,win
3618,ghermanmaximov,09Gladiator09,win,checkmated
3619,ssaintcyr,09Gladiator09,timeout,win
3620,09Gladiator09,Rsbhatotia,checkmated,win
3621,09Gladiator09,hti,timevsinsufficient,timevsinsufficient
3622,09Gladiator09,super23mido,checkmated,win
3623,09Gladiator09,britznick,win,timeout
3624,09Gladiator09,avi118,checkmated,win
3625,Bayram_Tagiyev,09Gladiator09,win,checkmated
3626,levochka,09Gladiator09,timeout,win
3627,Alecasi,09Gladiator09,timeout,win
3628,09Gladiator09,silvioASSO,win,timeout
3629,zach_stewXC,09Gladiator09,timeout,win
3630,09Gladiator09,zach_stewXC,checkmated,win
3631,09Gladiator09,imrelina,checkmated,win
3632,eleziarlind,09Gladiator09,win,checkmated
3633,Anam08,09Gladiator09,win,checkmated
3634,09Gladiator09,SchrettVette,win,resigned
3635,09Gladiator09,willersdan,win,timeout
3636,09Gladiator09,csnapp88,win,timeout
3637,chambiyal,09Gladiator09,win,checkmated
3638,alexpir,09Gladiator09,timeout,win
3639,check2umate,09Gladiator09,win,checkmated
3640,09Gladiator09,celta94,checkmated,win
3641,09Gladiator09,jamzoe,checkmated,win
3642,victorcbaldemor,09Gladiator09,timeout,win
3643,zchreb,09Gladiator09,win,checkmated
3644,sachinhampe,09Gladiator09,win,checkmated
3645,09Gladiator09,chezzMastaa,timeout,win
3646,09Gladiator09,discovercheckk,resigned,win
3647,09Gladiator09,Sithldv,win,timeout
3648,Yafarov,09Gladiator09,win,checkmated
3649,bigbluealdeeze,09Gladiator09,win,checkmated
3650,09Gladiator09,bigbluealdeeze,win,timeout
3651,09Gladiator09,ramses00,checkmated,win
3652,fransvn,09Gladiator09,win,timeout
3653,Capablunda,09Gladiator09,stalemate,stalemate
3654,09Gladiator09,8rays,checkmated,win
